,speaker_id,demographic
435,299,I am a 32-year-old female of the White race. I have completed a four-year bachelor's degree and my income is 30000 USD.
440,163,I am a 30-year-old male of the Black or African American race. I have completed a four-year bachelor's degree and currently earn 75000 USD.
445,151,"I am a 33-year-old male of Hispanic or Latino race. I have a four-year bachelor's degree and earn 109,000 USD."
450,198,I am a 29-year-old female of the White race. I have a high school diploma and earn 45000 USD.
455,293,I am a 28-year-old female of the White race. I have achieved a four-year bachelor's degree and earn 77000 USD.
460,286,I am a 26-year-old female of the White race. I have a four-year bachelor's degree and earn 49000 USD.
465,164,I am a 31-year-old male of the Black or African Americna race. I have a four-year bachelor's degree and earn 34000 USD.
470,82,I am a 29-year-old male of the White race. I completed a two-year associate degree and earn 34000 USD.
475,136,I am a 44-year-old male of the White race. I have a four-year bachelor's degree and earn 14500 USD.
480,303,I am a 33-year-old female of the White race. I have a four-year bachelor's degree and earn 55000 USD.
485,1,I am a 23-year-old male of the White race. I have a high school diploma and earn 27000 USD.
490,224,I am a 29-year-old female of the White race. I have completed some college but no degree and my income is 27000 USD.
495,337,I am a 58-year-old female of the White race. I have a four-year bachelor's degree and earn 60000 USD.
500,172,I am a 25-year-old male of the Asian/Pacific Islander race. I have a four-year bachelor's degree and earn 70000 USD.
505,16,I am a 20-year-old male of Hispanic or Latino descent. I have a high school diploma and earn 80000 USD.
510,85,I am a 36-year-old male of the White race. I completed a two-year associate degree and earn 96000 USD.
515,290,I am a 28-year-old female of the White race. I have a four-year bachelor's degree and earn 63000 USD.
520,318,I am a 39-year-old female of White race. I have completed a four-year bachelor's degree and my income is 45000 USD.
525,253,I am a 22-year-old female of the White race. I completed a two-year associate degree and earn 40000 USD.
530,331,I am a 49-year-old female of the White race. I have a four-year bachelor's degree and I earn 15000 USD.
535,309,I am a 34-year-old female of the White race. I have a four-year bachelor's degree and earn 82000 USD.
540,288,I am a 28-year-old female of the White race. I have obtained a four-year bachelor's degree and my income is 44000 USD.
545,6,I am a 31-year-old male of the White race. I have a high school diploma and earn 16000 USD.
550,48,I am a 37-year-old male of the White race. I have some college education but no degree and my income is 150000 USD.
555,0,I am a 22-year-old male of the White race. I have a high school diploma and earn 55000 USD.
560,47,"I am a 37-year-old male of the White race. I completed some college but no degree and earn 78500 USD.
       "
565,296,I am a 30-year-old female of the White race. I have a four-year bachelor's degree and earn 49000 USD.
570,93,"I am a 31-year-old male of the race category labeled as ""Other"". I have completed a two-year associate degree and my income is 80000 USD."
575,113,I am a 31-year-old male of the White race. I have a four-year bachelor's degree and earn 65000 USD.
580,311,I am a 35-year-old female of the White race. I have a four-year bachelor's degree and my income is 38000 USD.
585,308,I am a 34-year-old female of the White race. I have a four-year bachelor's degree and earn 65000 USD.
590,10,I am a 34-year-old male of the White race. I completed a high school diploma and earn 25000 USD.
595,271,I am a 65-year-old female of the White race. I completed a two-year associate degree and earn 34500 USD.
600,219,I am a 25-year-old female of the White race. I have completed some college but no degree and earn 4000 USD.
605,45,I am a 37-year-old male of the White race. I have completed some college but have not yet earned a degree. My income is 47000 USD.
610,51,"I am a 40-year-old male of the White race. I have some college education but no degree, and my income is 30000 USD."
615,53,"I am a 42-year-old male of the White race. I have completed some college but have no degree, and my income is 39000 USD."
620,353,I am a 42-year-old female of another race. I have a four-year bachelor's degree and earn 75000 USD.
625,218,I am a 23-year-old female of the White race. I have completed some college but no degree and my income is 55000 USD.
630,270,I am a 61-year-old female of the White race. I completed a two-year associate degree and earn 16000 USD.
635,76,I am a 29-year-old male of the Other race. I have studied some college but have no degree and earn 25000 USD.
640,202,I am a 35-year-old female of the White race. I have a high school diploma and earn 50000 USD.
645,305,I am a 34-year-old female of the White race. I have earned a four-year bachelor’s degree and have an income of 6000 USD.
650,22,I am a 33-year-old male of the White race. I completed Technical/Vocational school and earn 58000 USD.
655,68,I am a male of Hispanic or Latino race. I have completed some college but no degree and my income is 47000 USD at the age of 33 years.
660,279,I am a 23-year-old female of the White race. I have a bachelor's degree and earn 22000 USD.
665,222,"I am a 26-year-old female of the White race. I have completed some college but have not yet earned a degree, and I earn a yearly income of 35000 USD."
670,149,I am a 27-year-old male of Hispanic or Latino origin. I have a four-year bachelor's degree and earn 42500 USD.
675,18,I am a 23-year-old male of the Black or African American race. I have a high school diploma and earn 25000 USD.
680,319,I am a 40-year-old female of the White race. I have a four-year bachelor's degree and earn 31000 USD.
685,159,I am a 30-year-old male of the Black or African American race. I have completed a four-year bachelor's degree and my income is 35000 USD.
690,334,I am a 57-year-old female of White race. I hold a bachelor's degree and my income is 135000 USD.
695,120,I am a 33-year-old male of the White race. I hold a four-year bachelor's degree and have an annual income of 90000 USD.
700,135,I am a 42-year-old male of the White race. I completed a four-year bachelor's degree and earn 95000 USD.
705,341,I am a 25-year-old female of the Black or African American race. I hold a four-year bachelor's degree and earn a salary of 20000 USD.
710,336,I am a 58-year-old woman of the White race. I have a four-year bachelor’s degree and earn 40000 USD.
715,44,I am a 35-year-old male of the White race. I have completed some college but no degree and earn 90000 USD.
720,184,I am a 30-year-old male of the White race. I have a postgraduate or professional degree and my income is 76000 USD.
725,42,I am a 34-year-old male of the White race. I have completed some college but do not have a degree. My income is 42000 USD.
730,343,I am a 30-year-old female of black or African American descent. I have earned a four-year bachelor's degree and my annual income is 25000 USD.
735,261,I am a 33-year-old female of the White race. I have completed a two-year associate degree and earn 25000 USD.
740,174,I am a 28-year-old male of the Asian/Pacific Islander race. I have obtained a four-year bachelor's degree and my annual income is 45000 USD.
745,188,I am a 36-year-old male of the White race. I have a postgraduate or professional degree and earn 30000 USD.
750,252,I am a 60-year-old female of an undefined race. I have completed some college but no degree. I earn 100000 USD.
755,257,I am a 27-year-old female of the White race. I completed a two-year associate degree and earn 25000 USD.
760,145,I am a 58-year-old male of the White race. I have completed a four-year bachelor's degree and earn 39000 USD.
765,15,I am a 54-year-old male of the White race. I have a high school diploma and earn 25000 USD.
770,40,I am a 32-year-old male of the White race. I have completed some college but have no degree and I earn 35000 USD.
775,17,I am a 27-year-old male of Hispanic or Latino race. I have a high school diploma and my income is 39000 USD.
780,349,I am a 28-year-old female of the Asian/Pacific Islander race. I have a four-year bachelor's degree and I earn 65000 USD.
785,301,I am a 32-year-old female of the White race. I have a four-year bachelor's degree and earn 68000 USD.
790,199,I am a 32-year-old female of the White race. I have a high school diploma and earn 50000 USD.
795,217,I am a 32-year-old female of the White race. I have completed technical/vocational school and earn 100000 USD.
800,207,I am a 51-year-old female of the White race. I completed a high school diploma and earn 50000 USD.
805,114,I am a 32-year-old male of the White race. I have a four-year bachelor's degree and earn 10000 USD.
810,364,I am a 55-year-old female of the White race. I have obtained a postgraduate or professional degree and earn 10000 USD.
815,74,I am a 27-year-old male of other race. I have some college education but no degree and earn 35000 USD.
820,122,I am a 34-year-old male of the White race. I have obtained a four-year bachelor's degree and my income is 40000 USD.
825,161,I am a 30-year-old male of the Black or African American race. I have a four-year bachelor's degree and earn 55000 USD.
830,233,I am a 35-year-old female of the White race. I have completed some college but no degree and earn 50000 USD.
835,330,I am a 48-year-old female of the White race. I have a four-year bachelor's degree and earn 60000 USD.
840,183,I am a 30-year-old male of the White race. I hold a postgraduate or professional degree and earn 75000 USD.
845,210,I am a 63-year-old female of the White race. I have a high school diploma and my income is 35000 USD.
850,140,I am a 48-year-old male of the White race. I have a four-year bachelor's degree and earn 40000 USD.
855,50,I am a 39-year-old male of the White race. I have completed some college but do not have a degree. My annual income is 48000 USD.
860,5,I am a 30-year-old male of the White race. I completed a high school diploma and earn 25000 USD.
865,284,"I am a 26-year-old female of the White race. I have a four-year bachelor's degree and earn 13,000 USD."
870,192,"I am a 64-year-old male of the White race. I hold a postgraduate or professional degree and my income is 145,000 USD."
875,347,I am a 25-year-old female of Native American or American Indian race. I hold a four-year bachelor's degree and earn 26000 USD.
880,33,"I am a 29-year-old male of the White race. I have completed some college but have not obtained a degree, and I earn 25000 USD."
885,191,I am a 57-year-old male of the White race. I have a postgraduate or professional degree and I earn 142000 USD.
890,255,I am a 24-year-old female of the White race. I completed a two-year associate degree and earn 35000 USD.
895,226,I am a 30-year-old female of the White race. I have completed some college but no degree and earn 24000 USD.
900,211,I am a 23-year-old female of Hispanic or Latino ethnicity. I hold a high school diploma and my annual income is 12000 USD.
905,321,I am a 42-year-old female of the White race. I hold a four-year bachelor's degree and earn 75000 USD.
910,102,I am a 27-year-old male of the White race. I hold a four-year bachelor's degree and have an income of 52000 USD.
915,197,I am a 29-year-old female of the White race. I have a high school diploma and earn 40000 USD.
920,112,I am a 31-year-old male of the White race. I have obtained a four-year bachelor's degree and earn 50000 USD.
925,118,I am a 32-year-old male of the White race. I have a four-year bachelor's degree and earn 85000 USD.
930,137,I am a 44-year-old male of the White race. I have completed a four-year bachelor's degree and earn 49000 USD.
935,266,I am a 37-year-old female of the White race. I completed a two-year associate degree and earn 60000 USD.
940,162,I am a 30-year-old male of the Black or African American race. I have a four-year bachelor's degree and earn 65000 USD.
945,75,"I am a 27-year-old male of a race categorized under ""other."" I have completed some college but no degree and my income is 45000 USD."
950,49,I am a 38-year-old male of the White race. I have completed some college but do not have a degree. My yearly income is 17000 USD.
955,66,I am a 27-year-old male with a high school diploma. I am of Hispanic or Latino race and I earn 35000 USD.
960,155,I am a 24-year-old male who identifies as Black or African American. I have a four-year bachelor's degree and my income is 55000 USD.
965,144,"I am a 53-year-old male of the White race. I have completed a four-year bachelor's degree and my annual income is 240,000 USD."
970,7,I am a 33-year-old male of the White race. I have a high school diploma and earn 30000 USD.
975,221,"I am a 26-year-old female of the White race. I have completed some college but have no degree, and my income is 14750 USD."
980,60,I am a 49-year-old male of the White race. I have completed some college but no degree and I earn 61000 USD.
985,141,I am a 48-year-old male of the White race. I have a four-year bachelor's degree and earn 50000 USD.
990,206,I am a 41-year-old female of the White race. I have a high school diploma and earn 69000 USD.
995,99,I am a 26-year-old male of the White race. I hold a four-year bachelor's degree and my annual income is 63000 USD.
1000,63,I am a 64-year-old male of the White race. I have completed some college but no degree and earn 27000 USD.
1005,125,I am a 34-year-old male of the White race. I have a four-year bachelor's degree and earn 99000 USD.
1010,258,I am a 28-year-old female of the White race. I completed a two-year associate degree and earn 62000 USD.
1015,166,I am a 33-year-old male of Black or African American race. I have obtained a four-year bachelor’s degree and my income is 63000 USD.
1020,83,I am a 31-year-old male of the White race. I completed a two-year associate degree and earn 49000 USD.
1025,64,"I am a 68-year-old male of the White race. I have completed some college but have not earned a degree, and my income is 74000 USD."
1030,108,I am a 29-year-old white male. I have completed a four-year bachelor's degree and I earn 65000 USD.
1035,26,I am a 21-year-old male of the White race. I have some college education but no degree and earn a salary of 45000 USD.
1040,213,I am a 39-year-old female of African American race. I have a high school diploma and my annual income is 29000 USD.
1045,361,I am a 45-year-old female of the White race. I have a postgraduate or professional degree and earn 120000 USD.
1050,168,I am a 36-year-old male of the black or African American race. I have a four-year bachelor's degree and earn 40000 USD.
1055,355,I am a 29-year-old female of the White race. I have a postgraduate or professional degree and earn 62000 USD.
1060,246,I am a 52-year-old female of Hispanic or Latino descent. I have completed some college but no degree and earn 10000 USD.
1065,201,I am a 35-year-old female of the White race. I have a high school diploma and earn 45000 USD.
1070,90,I am a 39-year-old male of Hispanic or Latino race. I completed a two-year associate degree and earn 49000 USD.
1075,256,I am a 27-year-old female of the White race. I have completed a two-year associate degree and my income amounts to 15000 USD.
1080,165,I am a 32-year-old male of the Black or African American race. I have a four-year bachelor's degree and earn 60000 USD.
1085,89,I am a 54-year-old male of the White race. I completed a two-year associate degree and earn 16000 USD.
1090,187,I am a 35-year-old male of the White race. I have a postgraduate or professional degree and earn 50000 USD.
1095,29,I am a 25-year-old male of the White race. I have completed some college but do not have a degree. I earn 50000 USD.
1100,363,I am a 52-year-old female of the White race. I have a postgraduate or professional degree and earn 50000 USD.
1105,316,I am a 38-year-old female of the White race. I am a college graduate with a bachelor's degree and I earn 59000 USD.
1110,57,"I am a 45-year-old male of the White race. I have completed some college but have no degree, and my income is 27000 USD."
1115,365,I am a 62-year-old female of the White race. I possess a postgraduate or professional degree and earn 5500 USD.
1120,306,I am a 34-year-old female of the White race. I have a four-year bachelor's degree and earn 39000 USD.
1125,225,I am a 29-year-old female of the White race. I have completed some college but no degree and earn 79000 USD.
1130,274,I am a 25-year-old female of the Black or African American race. I completed a two-year associate degree and earn 20000 USD.
1135,230,I am a 33-year-old female of the White race. I have completed some college but I do not have a degree. My income is 60000 USD.
1140,357,I am a 31-year-old female of the White race. I have a postgraduate or professional degree and earn 67000 USD.
1145,73,I am a 19-year-old male of the Asian/Pacific Islander race. I have completed some college but no degree and my income is 1000000 USD.
1150,238,I am a 39-year-old female of the White race. I have completed some college but no degree and earn 35000 USD.
1155,292,I am a 28-year-old female of the White race. I have a four-year bachelor's degree and my income is 68000 USD.
1160,78,I am a 23-year-old male of the White race. I have completed a two-year associate degree and my income is 53000 USD.
1165,39,I am a 31-year-old male of the White race. I have completed some college but no degree and my income is 125000 USD.
1170,332,I am a 50-year-old female of the White race. I hold a four-year bachelor's degree and my income is 154000 USD.
1175,273,I am a 24-year-old female of the Black or African American race. I completed a two-year associate degree and earn 20000 USD.
1180,352,"I am a 37-year-old female of the ""Other"" race. I have obtained a four-year bachelor's degree and my income is 50000 USD."
1185,156,I am a 26-year-old male of African American race. I have a bachelor's degree and earn 75000 USD.
1190,105,I am a 28-year-old male of the White race. I have completed a four-year bachelor’s degree and my income is 78097 USD.
1195,175,"I am a 31-year-old male of the Asian/Pacific Islander race. I have a four-year bachelor's degree and earn 40,000 USD."
1200,97,"I am a 24-year-old male of the White race. I have a four-year bachelor's degree and earn 62,000 USD."
1205,275,I am a 34-year-old female of the Black or African American race. I completed a two-year associate degree and earn 55000 USD.
1210,262,I am a 33-year-old female of the White race. I completed a two-year associate degree and earn 39000 USD.
1215,104,I am a 28-year-old male of the White race. I have a four-year bachelor's degree and my income is 65000 USD.
1220,62,"I am a 51-year-old male of the White race. I have completed some college but do not have a degree, and I earn 110000 USD."
1225,77,I am a 22-year-old male of the White race. I completed a two-year associate degree and earn 60000 USD.
1230,9,I am a 34-year-old male of the White race. I have completed a high school diploma and earn 20000 USD.
1235,269,I am a 58-year-old female of the White race. I completed a two-year associate degree and earn 20000 USD.
1240,340,I am a 23-year-old female of Hispanic or Latino ethnicity. I completed a four-year bachelor's degree and earn 30000 USD.
1250,148,I am a 65-year-old male of the White race. I hold a four-year bachelor's degree and earn 190000 USD.
1255,178,I am a 42-year-old male of the Asian/Pacific Islander race. I have a four-year bachelor's degree and earn 88000 USD.
1260,203,I am a 36-year-old female of the White race. I have a high school diploma and earn 91000 USD.
1265,348,I am a 24-year-old female of the Asian/Pacific Islander race. I have obtained a four-year bachelor's degree and my income is 22000 USD.
1270,126,I am a 35-year-old male of the White race. I have a bachelor's degree and my income is 3600 USD.
1275,72,"I am a 32-year-old male of Black or African American race. I have completed some college but no degree, and I earn 50000 USD."
1285,326,I am a 46-year-old female of the White race. I have a four-year bachelor's degree and earn 52000 USD.
1290,69,I am a 19-year-old male of the Black or African American race. I have completed some college but no degree and my annual income is 50000 USD.
1295,335,I am a 58-year-old female of the White race. I have a four-year bachelor's degree and earn 35000 USD.
1300,4,I am a 27-year-old male of the White race. I have a high school diploma and my income is 64000 USD.
1305,3,I am a 26-year-old male of the White race. I have a high school diploma and earn 55000 USD.
1310,38,I am a 30-year-old male of the White race. I have completed some college but no degree and earn 79000 USD.
1315,65,I am a 25-year-old male of Hispanic or Latino race. I have completed some college but no degree and earn 66000 USD.
1320,91,I am a 40-year-old male of Native American or American Indian descent. I have completed a two-year associate degree and earn 70000 USD.
1325,282,I am a 25-year-old female of the White race. I have a four-year bachelor's degree and earn 55000 USD.
1330,368,I am a 34-year-old individual of the Black or African American race. I have a postgraduate or professional degree and my income is 100000 USD.
1335,116,I am a 32-year-old male of the White race. I have a four-year bachelor's degree and earn 50000 USD.
1340,354,I am a 29-year-old female of the White race. I have a postgraduate or professional degree and earn 48000 USD.
1345,350,I am a 33-year-old female of the Asian/Pacific Islander race. I hold a four-year bachelor's degree and my annual income is 51000 USD.
1350,181,I am a 27-year-old male of different race. I earned a four-year bachelor's degree and make 50000 USD.
1355,36,"I am a 30-year-old male of the White race. I have completed some college but do not possess a degree, and my income is 50000 USD."
1360,339,I am a 66-year-old female of the White race. I completed a four-year bachelor's degree and earn 75000 USD.
1365,147,"I am a 65-year-old male of the White race. I have a four-year bachelor's degree and earn 50,000 USD."
1370,278,I am a 31-year-old female of the Other race. I completed a two-year associate degree and earn 62000 USD.
1375,276,I am a 44-year-old female of African American race. I completed a two-year associate degree and earn 38000 USD.
1380,322,I am a 42-year-old female of the White race. I have achieved a four-year bachelor's degree and my income is 80000 USD.
1385,31,I am a 27-year-old male of the White race. I have some college education but no degree and earn 12000 USD.
1390,157,I am a 30-year-old male of the Black or African American race. I have a four-year bachelor's degree and my income is 100 USD.
1395,345,I am a 32-year-old female of the Black or African American race. I have a four-year bachelor's degree and earn 85000 USD.
1400,150,I am a 29-year-old male of Hispanic or Latino descent. I have attained a four-year bachelor's degree and my income is 50000 USD.
1405,304,I am a 33-year-old female of the White race. I have a four-year bachelor's degree and earn 75000 USD.
1410,133,I am a 40-year-old male of the White race. I have a four-year bachelor's degree and earn 125000 USD.
1415,366,I am a 44-year-old female of the Asian/Pacific Islander race. I have attained a postgraduate or professional degree and my income is 30000 USD.
1420,342,I am a 28-year-old female of African American race. I have a four-year bachelor's degree and have an income of 35000 USD.
1425,247,I am a 26-year-old female of Black or African American race. I have completed some college but no degree and my income is 33579 USD.
1430,329,I am a 47-year-old female of the White race. I have a four-year bachelor's degree and earn 86000 USD.
1435,220,I am a 25-year-old female of the White race. I have completed some college but have not earned a degree. My income is 30000 USD.
1440,223,I am a 28-year-old female of the White race. I have completed some college but no degree and earn 8000 USD.
1445,189,I am a 39-year-old male of the White race. I have a postgraduate or professional degree and earn 76000 USD.
1450,312,I am a 35-year-old female of the White race. I have a four-year bachelor's degree and earn 60000 USD.
1455,61,I am a 50-year-old male of the White race. I completed some college but no degree and earn 96000 USD.
1460,110,I am a 30-year-old male of the White race. I have a four-year bachelor's degree and earn 45000 USD.
1465,228,I am a 31-year-old female of the White race. I have some college education but no degree and my income is 25600 USD.
1470,24,I am a 46-year-old male of the White race. I completed technical/vocational school education and earn 29000 USD.
1475,134,I am a 41-year-old male of the White race. I have a four-year bachelor's degree and earn 37500 USD.
1480,245,I am a 34-year-old female of Hispanic or Latino race. I have completed some college but no degree and earn 25000 USD.
1485,268,I am a 57-year-old female of the White race. I have completed a two-year associate degree and I earn 28000 USD.
1490,289,I am a 28-year-old female of the White race. I have completed a four-year bachelor's degree and earn 56000 USD.
1495,32,I am a 28-year-old male of the White race. I have completed some college but no degree and my income is 3500 USD.
1500,234,I am a 35-year-old female of the White race. I have completed some college but do not hold a degree and earn 90000 USD.
1505,195,"I am a 30-year-old male of the Black or African American race. I have earned a postgraduate or professional degree and my income is 145,000 USD."
1510,239,I am a 44-year-old female of the White race. I have some college but no degree and earn 17000 USD.
1515,248,"I am a 33-year-old female of the African American race. I have completed some college but don't hold a degree, and I earn 60000 USD."
1520,86,I am a 39-year-old male of the White race. I have completed a two-year associate degree and earn 39000 USD.
1525,103,I am a 27-year-old male of the White race. I have completed a four-year bachelor's degree and my annual income is 74000 USD.
1530,124,I am a 34-year-old male of the White race. I have a four-year bachelor's degree and earn 50000 USD.
1535,111,I am a 31-year-old male of the White race. I have obtained a four-year bachelor's degree and my income is 40000 USD.
1540,123,I am a 34-year-old male of the White race. I have a four-year bachelor's degree and earn 48000 USD.
1545,88,I am a 47-year-old male of the White race. I completed a two-year associate degree and earn 32000 USD.
1550,70,I am a 28-year-old male of African American race. I have completed some college but no degree and earn 456566 USD.
1555,362,I am a 50-year-old female of the White race. I have a postgraduate or professional degree and earn 125000 USD.
1560,208,I am a 60-year-old female of the White race. I have a high school diploma and earn 21000 USD.
