	article_id	wrong_empathy	distress	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	speaker_id	demographic_essay	article	empathy
1677	243	3.5	2.0	fear	2.0	4.0	1.0	34.0	30000.0	7.0	6.5	6.5	7.0	7.0	4.857	1.143	3.857	4.571000000000001	231	I am a 34-year-old female of the White race. I have completed some college but no degree and earn 30000 USD. there is a lot going on in this one and I had lots of different emotions throughout the whole thing. numerous issues with the article I read, cops shooting people, people being sent to prison for far too long of a period of time, as well as militias being formed to protect land. I feel our land is important ,I feel as though cattle should be able to graze and that we have a huge problem when it comes to economic issues,due to the way that livestock is taken care of,to produce food for people. It is heartbreaking to see people fight for land they love it, and it’s heartbreaking for the police to have to shoot people over it. people lose years of their lives in prison over land and cattle and thousands upon thousands of dollars wasted in court cases. the whole article was a mess!	Seven leaders of an armed militia who led a 41-day stand-off at a US federal wildlife refuge in Oregon have been acquitted of conspiracy and firearms charges. The occupation of the refuge, which began in January, was a protest against federal control of land. The defendants argued that they did not intend to prevent federal officers from going to work, and the jury was unable to find beyond reasonable doubt that they had. The acquittal has been seen as a victory for states' rights and a blow to the federal government. The case against a second group of defendants is due to go to trial in February.	4.2
945	255	1.0	1.0	sadness	1.0	4.0	5.0	27.0	45000.0	6.0	4.0	4.0	6.0	6.0	3.429	1.571	3.0	3.0	75	"I am a 27-year-old male of a race categorized under ""other."" I have completed some college but no degree and my income is 45000 USD. There is some killing in Indonesia most likely related to Muslims. Overall I'm not surprised by this news, the Islam religion holds many radicals and there are enough proof that the top leaders of these Islam groups support oppression. Just look at at all the hajibs in these muslim countries these are sad pathetic men that are afraid of women."	One person has died and seven others have been injured in clashes in the Indonesian capital, according to a police spokesman. The incident occurred in Jakarta.	1.2
1807	198	1.0	1.0	neutral	1.0	6.0	1.0	24.0	60000.0	6.5	4.0	6.5	4.0	7.0	3.286	2.857	3.0	2.714	96	I am a 24-year-old male of the White race. I have a four-year bachelor's degree and earn 60000 USD. I read an article about the Loud Music Shooter, not sure if you've heard about this case in Florida.  It seems like they've upheld the murder conviction for the man who shot a black teen during an argument about loud music being played.  It did seem more like murder and not so much like an actual self-defense situation.	"An appeals court in Florida has upheld the murder conviction of Michael Dunn, a white man who fatally shot a black teenager during an argument over loud rap music. Dunn was sentenced to life in prison without parole in 2014 for the shooting of Jordan Davis. Dunn's lawyers argued that he acted in self-defense, but the court denied their claim. The case drew national attention and sparked debate over Florida's ""Stand Your Ground"" law and racial issues. Davis' family expressed relief at the court's decision, but acknowledged that their fight for justice and changes in gun laws continues."	6.2
988	157	1.6669999999999998	1.5	sadness	2.0	2.0	1.0	41.0	69000.0	7.0	1.5	2.0	7.0	6.5	3.429	2.4290000000000003	1.0	4.571000000000001	206	I am a 41-year-old female of the White race. I have a high school diploma and earn 69000 USD. Sadly this has become common in our society. Blacks are killed by police, and nothing seems to make a difference or matter. I can guarantee that if it was a black cop killing a while person, the outcomes would be entirely different. I dont blame the black community for their anger and dissapointment. I'm angry and dissapointed I cant imagine how they must feel.	Terence Crutcher, an unarmed black man, was remembered at a funeral service in Tulsa, Oklahoma. The service drew hundreds of mourners and highlighted concerns about biased policing in the United States. The funeral came a day after the police officer who shot Crutcher was booked on a first degree manslaughter charge. Videos released by the police show Crutcher with his hands in the air before being shot. Speakers at the funeral described Crutcher as a father of four with a good heart. The service took place after a rally organized by Black Lives Matter and other groups.	6.5
1481	155	4.0	2.0	anger	2.0	5.0	1.0	57.0	28000.0	6.0	6.0	6.0	6.0	6.0	4.0	2.0	3.857	4.0	268	I am a 57-year-old female of the White race. I have completed a two-year associate degree and I earn 28000 USD. See what I told ya! If kids are bored they will eventually be up to no good. Here is this man just minding his own business and he's attacked by a bunch of teens on bikes! The kid that threatened him with the bottle was probably just trying to show off to his friends. I mean, this did happen in Scotland but it could've been right in our backyards as well. I think we really need to rethink our commitment to the youth center. I firmly believe that when kids have a place to go and things to do, they are less inclined to get caught up in this kind of mischief!	A man in Edinburgh was attacked by a large group of youths after being chased through a park. The man was walking through a playground when the group started shouting and threatening him with a bottle. They chased him into another area where they attacked him and stole his wallet. The man sustained minor injuries. The police are seeking information about the incident and are particularly interested in finding the male teenager who initially threatened the victim with a weapon.	4.2
539	73	6.0	4.0	sadness	2.0	6.0	1.0	28.0	44000.0	6.5	6.5	6.0	6.5	6.0	4.714	2.286	3.857	4.857	288	I am a 28-year-old female of the White race. I have obtained a four-year bachelor's degree and my income is 44000 USD. I just read an article about how Billy Bob Thorton felt about his marriage to Angelia Jolie. He expressed that he did not feel good enough to be with her. This was kind of surprising. It made me feel empathic towards him. He stated that he did not like being around rich and important people. This made me feel like he is relatable. I did find it odd that they both wore vials of blood around their necks while they were together. It was a little gross. He even went into detail about how they cut their fingers together to get the blood and then compared it the lockets you can buy and put pictures of your grandmas in. I also did not realize that he is 20 years her junior. I found that to be a little old but I have seen it work. The article also briefly touched on her relationship with Brad.	Billy Bob Thornton, the ex-husband of Angelina Jolie, has revealed that he never felt good enough for her. He explained that her high-profile lifestyle made him uncomfortable around rich and important people. Despite their divorce, Thornton says he is still friends with Jolie and speaks to her every few months. He also discussed the infamous vials of blood they wore around their necks during their marriage, stating that it was a romantic gesture. Jolie is currently going through a divorce with Brad Pitt, who was recently cleared of child abuse allegations. Jolie's representative stated that she is relieved the investigation has concluded and that her focus has always been the health of the family.	3.2
1343	234	1.0	2.875	sadness	2.0	6.0	5.0	33.0	51000.0	6.0	5.5	4.5	3.5	4.0	3.0	2.0	3.571	3.429	350	I am a 33-year-old female of the Asian/Pacific Islander race. I hold a four-year bachelor's degree and my annual income is 51000 USD. This story upsets me. I can't seem to get it out of my head that the victim was a child even though there's conflicting comments. But to die because you stole porridge seems insane. I guess I can't put myself in that situation where maybe porridge is hard to come by but just knowing that someone died for that seems petty to me.	Nigerian police are investigating a video of a boy being beaten and set on fire for allegedly stealing food. The victim's age and location are disputed, with some reports claiming he was a seven-year-old attacked in Lagos, while others say he was in his twenties and part of a robbery gang. The police have stated that the video does not suggest the assault occurred in Lagos. The footage has sparked outrage and calls for justice to be served.	6.2
1800	46	2.833	2.625	anger	1.0	5.0	1.0	34.0	30000.0	4.5	6.0	3.0	5.5	4.5	4.0	2.0	3.857	3.857	84	I am a 34-year-old male of the White race. I completed a two-year associate degree and earn 30000 USD. I was with him and mildly supportive of him until I found out about the second shooting. You can't just go shooting everybody who had every treated your daughter wrong.  My initial thought was, oh the justice system failed and this guy had it coming.  Then after reading about the second incident, I'm starting to feel like this was more a crazy guy on a shooting spree.	A man in Alabama was sentenced to 40 years in prison for murdering his daughter's sexual abuser, 13 years after the abuser's release from prison. The victim, who suffered from post-traumatic stress disorder, expressed her anger and frustration at the abuser's short sentence. The father, driven by rage and a desire for vengeance, shot and killed the abuser. The father pleaded guilty to first-degree murder and also pleaded guilty to attempted murder of another man. The father's actions sparked a debate online, with some supporting him and others condemning his actions. The daughter praised her father for protecting her and sparing her from having to relive the abuse in court. However, not everyone believed the father was justified, and some criticized his actions as endangering innocent lives. The daughter, despite her father's intentions, still feels guilt and is struggling emotionally.	3.2
664	94	5.0	6.25	disgust	2.0	4.0	1.0	26.0	35000.0	7.0	6.0	7.0	7.0	4.0	4.714	2.571	4.0	3.571	222	I am a 26-year-old female of the White race. I have completed some college but have not yet earned a degree, and I earn a yearly income of 35000 USD. ISIS is a group of deeply mentally ill serial killers. I simply don't see them the way I see Al-Aqaeda. Now, Al-Aqaeda is also a group of mentally ill people and they're also disgusting but they're damn serious in their mission. ISIS feels like a group of guys who kill just for fun. I agree with Obama on ISIS being a jv team. I can't help but feel terrible for those who have to witness the bodies all over Mosul. What a horrible sight that must be. Can people heal once they see that? Do those people have any hope or any way to continue after they witness such atrocities? What about the children? I feel so bad for them. It's so crazy. I wish they would wipe out the Middle East and just start over. Enough with the political correct bullshit. Enough with the religious bullshit.	The battle for Mosul continues, with civilians caught in the crossfire having to choose between fleeing or staying in their homes. Over 47,730 people have been displaced due to the ongoing military operations, and more than 12,800 people have fled since Tuesday. Witnesses report that ISIS has executed dozens of people, leaving their bodies as a warning. The UN has confirmed that at least 60 civilians have been killed this week, with reports of ISIS committing atrocities. Local ISIS commanders are fleeing, leaving behind trained teenage combatants. ISIS has also been forcing children to carry out executions. A senior ISIS commander has been killed in the battle. The battle for Mosul is difficult and slow, with ISIS using various tactics to hamper Iraqi advances.	3.2
1105	326	6.5	2.25	neutral	2.0	6.0	1.0	38.0	59000.0	7.0	7.0	4.0	7.0	7.0	4.428999999999999	3.143	4.714	4.857	316	"I am a 38-year-old female of the White race. I am a college graduate with a bachelor's degree and I earn 59000 USD. Even though I am not in favor of the conservative party, I still do not understand why the Jewish people would be struggling to understand ""Trump's electron"".  It is not a one party election so at some point or another the Democratic or the Republican party will be in the white house. There will always be naysayers on either side. Everyone everywhere do need prayers and I do appreciate the prayers from the Jewish community."	Jewish communities in the United States are grappling with fear, grief, and anger following Donald Trump's election as president. Synagogues across the country have held prayer and healing services to address these emotions. While Jews have not been directly insulted by Trump, they fear that his presidency will create a hostile environment for minority groups. The Jewish community is overwhelmingly liberal and Democratic, leading to a sense of alienation from their fellow Americans. However, they also recognize the need for understanding and reaching out to Trump supporters. Jews are urged to reflect on their own actions and allyship with other marginalized groups. This new era has brought about a struggle for Jews to understand Trump supporters while maintaining their own values and finding solidarity with others.	3.2
756	334	4.0	4.0	fear	2.0	5.0	1.0	27.0	25000.0	5.5	7.0	5.5	4.0	5.5	3.857	3.286	3.0	4.0	257	"I am a 27-year-old female of the White race. I completed a two-year associate degree and earn 25000 USD. I am sharing this because I wish people can understand what humans are doing to the environment and how its actually affecting our climate. WE ARE going through climate change, and it seems like the world does not care because there's still pollution and etc. The artic glaciers are melting, waters are getting warmer and people say that's not ""global warming"". Definitely give this article a read if you are into environmental stuff."	Climate change has had a broad impact on ecosystems, with evidence of its effects on biodiversity and ecosystem functioning. A study identified 94 core ecological processes, of which 82% showed evidence of impact from climate change. These impacts range from shifts in species ranges and changes in phenology to disruptions at the genetic and ecosystem levels. Species are adapting to temperature extremes, with changes in physiology and morphology. Changes in phenology, abundance, and distribution of species have also been observed. These impacts have implications for food security, as reduced genetic diversity, inconsistent crop yields, and decreased productivity in fisheries threaten resources. Changes in disease vectors and the emergence of novel pathogens and pests pose a direct threat to human health and resources. Understanding these impacts is crucial for adapting to and mitigating the influence of climate change on biodiversity and ecosystem services.	6.2
1626	118	3.0	4.125	neutral	2.0	4.0	1.0	37.0	50000.0	4.5	5.0	5.5	5.5	3.5	3.714	2.714	3.571	3.143	236	I am a 37-year-old female of the White race. I have some college education but no degree and earn 50000 USD. So apparently Russia sent a bunch of bombs on a school in Syria.  It killed like 22 kids.  Now the Russian government is trying to say it never happened.  They even showed satellite images of another place and claimed it was there.  Some organization called HRW (Human Rights Watch) had evidence to show otherwise.  They even had images of the same type of aircraft that the Russians use.	An investigation by Human Rights Watch has concluded that the deadly attack on a school in Syria was carried out by Syrian regime and Russian warplanes. Russia initially denied that any airstrikes had taken place, but satellite imagery and drone footage released by the Russian Ministry of Defence showed damage consistent with HRW's evidence. HRW has compiled video evidence and witness testimonies, and called on Russia to conduct a thorough investigation. This attack is one of many targeting civilian infrastructure in Syria, with over 4,200 schools damaged or destroyed during the six-year war. Efforts are being made to establish culpability for war crimes committed in Syria through the UN General Assembly and national courts in Europe and the United States.	6.2
782	409	2.667	2.625	sadness	2.0	6.0	5.0	28.0	65000.0	6.0	7.0	3.0	3.0	3.5	2.714	3.0	3.714	3.143	349	I am a 28-year-old female of the Asian/Pacific Islander race. I have a four-year bachelor's degree and I earn 65000 USD. It's sad that there are still outbreaks of cholera and other diseases that are easily preventable with sanitation and access to clean drinking water. If we all pitch in just a couple dollars, the cost of buying a bottle of water, I bet we could make a significant contribution to the relief effort in Yemen.	The number of suspected cholera cases in Yemen has risen to 1,410 within three weeks, according to the World Health Organization (WHO). The outbreak was declared on October 6, and by October 10, there were 24 suspected cases. However, as of Thursday, there were 1,410 suspected cases in 10 out of Yemen's 23 governorates. The conflict between a Saudi Arabia-led coalition and the Iran-aligned Houthi group has destroyed much of Yemen's infrastructure, making it difficult to control the disease outbreak. Cholera is just one of the risks in Yemen's war, which has left millions displaced and in need of medical help. Only 47 of the suspected cases have tested positive for cholera, and the outbreak has spread beyond the capital to nine other governorates. Children under 10 account for half of the cases, with six deaths from cholera and 36 associated deaths from acute watery diarrhea. Prompt treatment with intravenous fluids and antibiotics is crucial in severe cases.	6.5
7	189	3.833	4.25	disgust	1.0	6.0	5.0	24.0	45000.0	4.5	3.0	4.5	4.5	4.5	2.4290000000000003	2.857	2.714	2.4290000000000003	170	I am a 24-year-old male of Asian/Pacific Islander race. I have earned a four-year bachelor's degree and currently earn a income of 45000 USD. well well well, look at what we have well, the arrogant Kim Kardashian finally got what she deserves: being robbed for millions, the thought of it is bitter, considering it's a robbery after all, but think the other way, a rich superfluous gal as Kim, broadcasting her belongings on social media, I guess she brought this upon herself	Kim Kardashian West was held at gunpoint in a robbery in Paris, where a group of men stole millions of dollars' worth of jewelry. The concierge, Abdulrahman, revealed that the robbers initially wanted money, not jewels. There was speculation that a diamond ring Kardashian West showed off on social media prompted the heist, but Abdulrahman clarified that the robber was only interested in money. After giving him the ring, the thief pocketed it and continued to demand money. Some jewels and gold were lost because the thief left the bag open. The police are still investigating, but no arrests have been made. Kardashian West has reduced her social media presence and public outings since the incident.	3.2
145	103	5.5	5.375	sadness	2.0	5.0	1.0	31.0	92500.0	5.5	5.0	7.0	6.5	5.0	4.143	2.286	3.571	4.0	260	I am a 31-year-old female of White race. I have a two-year associate degree and my income is 92500 USD. While I think many of us are troubled with the recent relations with Russia and suspicion of rigging our US election, in cahoots with POTUS Trump and hacking, we need to sort through the details and make sure we are using facts when they are available. Suspicions are sometimes unfounded, my heart goes out to the agent's family.	"Mikhail Y. Lesin, a former aide of Russian President Vladimir Putin, died from head injuries sustained in accidental falls after excessive drinking, according to authorities in Washington. Lesin, who helped create the Kremlin's Russia Today television network, was found dead in a D.C. hotel room in November 2015. Initially ruled as ""undetermined,"" the manner of death has now been amended to an accident with acute ethanol intoxication as a contributing cause. Lesin's death was caused by blunt-force injuries to his head, as well as injuries to his neck, torso, arms, and legs from falls. The investigation determined that Lesin entered his hotel room for the final time after days of excessive alcohol consumption and was found dead the next morning. The ruling of accidental death has been accepted by the interim D.C. police chief. Lesin was known for his role in the Kremlin-dominated media landscape and his volatile temper. He resigned as head of Gazprom-Media in 2014 and kept a low profile until his death. Speculation about his death included theories of foul play due to his land dealings in California, but a friend and business associate believed he died after heavy drinking."	4.2
388	336	6.5	6.625	sadness	2.0	6.0	1.0	36.0	105000.0	6.5	5.0	1.0	6.0	5.0	5.0	4.2860000000000005	3.714	4.2860000000000005	313	I am a 36-year-old female of the White race. I have a four-year bachelor's degree and earn 105,000 USD. This is such a sad situation for both the people and the elephants affected by all the coal mining. The world really needs to move forward to try to replace using coal as a means of energy, and replace it with something that is less harmful to humans, animals and the environment.  It's not fair, especially to the animals, since they don't really benefit from the coal mining.	India's unregulated coal industry has resulted in serious health and environmental issues. The mining has caused respiratory problems and illnesses like tuberculosis among people, while forests are being cleared for coal mining, leading to conflicts between wild elephants and humans. Elephants have caused significant property and crop damage, and deaths due to electrocution have become common. The affected communities have not received adequate compensation or support. Additionally, the generation of fly ash by power plants is causing pollution and leaching into groundwater. Lung diseases such as tuberculosis are prevalent in villages near open cast mines.	6.5
1546	97	3.667	3.875	sadness	1.0	4.0	3.0	28.0	456566.0	4.5	3.5	3.5	5.0	4.5	2.4290000000000003	3.571	2.571	3.0	70	I am a 28-year-old male of African American race. I have completed some college but no degree and earn 456566 USD. To show with how it can be done and understanding with how others are making sure that I'm not making sure, which of these things are becoming worse and how it's not being told with how the private message isn't being shown. I believe that it can't be how my friend is, because it's just not important and with it being bad, it's just not really good.	Consumer Reports has released a report identifying fifteen supplement ingredients that can cause illness or even death. The risks associated with these ingredients include cancer, organ damage, and cardiac arrest. The severity of the threats depends on factors such as pre-existing conditions, the quantity of ingredients taken, and the length of exposure. The report lists the dangerous ingredients, including aconite, caffeine powder, chaparral, coltsfoot, comfrey, germander, greater celandine, green tea extract powder, Kava, lobelia, methylsynephrine, pennyroyal oil, red yeast rice, usnic acid, and Yohimbe. The report warns against the use of these ingredients due to their potential health risks. The CDC has reported that the use of dietary supplements in the United States is common, with over forty percent of the population using them from 1998 to 2004. Multivitamins and multiminerals are the most commonly used products.	3.2
946	366	1.0	1.0	neutral	1.0	4.0	5.0	27.0	45000.0	6.0	4.0	4.0	6.0	6.0	3.429	1.571	3.0	3.0	75	"I am a 27-year-old male of a race categorized under ""other."" I have completed some college but no degree and my income is 45000 USD. Environmentalism at its core is a racket. The leaders will use whatever methods to tie nature together to guilt you into accepting higher and higher taxes towards cost of living while majority of this money goes towards these non-profit organizations that help them push thier agenda. These environmental groups are only capable of gutting thier own people and will not address the larger oil buyers such as China or any other third world nation that is burning coal. By raising the cost of oil isn't going to stop Saudi Arabia or Russia from pumping oil, its all a racket to control the power supply and tax the people."	"A new report by environmental group Amazon Watch reveals that the United States is driving the destruction of the Amazon rainforest by importing crude oil from the region. American refineries processed over 230,000 barrels of Amazon crude oil per day last year, with California alone refining an average of 170,978 barrels per day. The expansion of oil drilling in the Amazon poses a serious threat to the region, with proposed oil and gas fields covering an area larger than Texas. The destruction of the Amazon rainforest releases greenhouse gases and puts indigenous communities and biodiversity at risk. Ecuador's state oil company recently started drilling near the biologically rich Yasuni national park. Indigenous communities are at risk of pollution, displacement, and deadly illnesses. Amazon Watch is calling for a reduction in Amazon crude imports and the establishment of ""no go zones"" in decision making."	1.2
902	337	6.0	6.0	disgust	2.0	2.0	2.0	23.0	12000.0	5.0	4.5	3.0	5.0	4.5	4.571000000000001	2.571	4.428999999999999	4.428999999999999	211	I am a 23-year-old female of Hispanic or Latino ethnicity. I hold a high school diploma and my annual income is 12000 USD. I think its sick having these kids working. These kids should be playing and having an education. Why are they doing this? This just shows you how much people care about money. Its disgusting. Human beings are disgusting. I feel so ashamed. God will punish all of these people. We are just being controlled. Someone needs to put this to an end. I really hope these children get the life they deserve. This is why there is a lot of people suffering from depression because of these terrible things going on.	The text describes an undercover investigation into the exploitation of Syrian refugees and children in the garment industry in Turkey. The investigation reveals that many Syrian refugees, who lack work permits, are forced to work illegally in factories for low wages. The factories often hide workers during audits and continue exploiting them once the auditors leave. Some brands are aware of the abuses and are trying to address them, but others are unaware of the conditions in their supply chain. The investigation concludes that until brands have full visibility into their supply chain, the exploitation of refugees and children is likely to persist.	4.2
