article_id	empathy	distress	essay	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	speaker_id	demographic	demographic_essay	article
34	6.5	4.0	I thought the article was quite sad to read and disheartening to hear about the Iraqi people. I felt sad for them knowing their future was uncertain and how hard it was to find a job. The economy they deal with is much worse than ours and I can only imagine how difficult it must be living there. I hope that it gets better in the future.	sadness	2	6	1	25	75000	7.0	7.0	4.5	6.5	6.5	4.143	2.4290000000000003	3.571	4.428999999999999	283	I am a 25-year-old female of the White race. I have a four-year bachelor's degree and earn 75000 USD.	I am a 25-year-old female of the White race. I have a four-year bachelor's degree and earn 75000 USD. I thought the article was quite sad to read and disheartening to hear about the Iraqi people. I felt sad for them knowing their future was uncertain and how hard it was to find a job. The economy they deal with is much worse than ours and I can only imagine how difficult it must be living there. I hope that it gets better in the future.	Afghanistan is facing a looming humanitarian crisis as the number of displaced people continues to rise. Over a million people were already uprooted last year, and this year, at least another million Afghans are on the move within the country and across its borders. The violence and conflict in Afghanistan have forced many to flee, while others are escaping poverty and drought. The United Nations and other aid agencies are struggling to provide emergency assistance, and if they fail, it will become a full-blown crisis. The country has been plagued by massive displacement since the Soviet invasion in 1979, and the current violence is some of the worst since the Taliban was toppled. The clashes between Afghan and Taliban forces have pushed even more people from their homes. The government is unable to reach all affected areas, and the Taliban now controls more territory than at any time since 2001. The return of refugees to areas controlled by insurgents is a concern, as it could exacerbate insecurity and joblessness. The displaced are often rejected and forced into squalid camps, with limited access to clean water and food. The situation is dire, and the government is incapable of creating jobs or improving the economy in remote areas. Criminal and terrorist networks may exploit the jobless and displaced youths, further deepening the crisis.
99	4.5	3.125	I'm sorry to hear that about Dakota's parents. Even when you are adult it must be hard to see your parents splitting up. No one wants that to happen and it's unfortunate that her parents couldn't work it out. I hope they are able to still remain civil around the kids and family. Just because it didn't work romantically doesn't mean it won't work at all.	sadness	2	6	1	25	75000	7.0	7.0	4.5	6.5	6.5	4.143	2.4290000000000003	3.571	4.428999999999999	283	I am a 25-year-old female of the White race. I have a four-year bachelor's degree and earn 75000 USD.	I am a 25-year-old female of the White race. I have a four-year bachelor's degree and earn 75000 USD. I'm sorry to hear that about Dakota's parents. Even when you are adult it must be hard to see your parents splitting up. No one wants that to happen and it's unfortunate that her parents couldn't work it out. I hope they are able to still remain civil around the kids and family. Just because it didn't work romantically doesn't mean it won't work at all.	Dakota Fanning's parents, Steven and Heather Fanning, are getting a divorce after being married for almost 27 years. The couple has two adult children, Dakota and Elle, so child support is not an issue. It is unclear if spousal support will be requested. Steven has filed for divorce citing irreconcilable differences and is still figuring out how to divide their property.
170	6.2	4.25	Hearing about the violence going on over politics in the country is really sad and upsetting. It's easy to take for granted how we live and how lucky we are that we don't have to worry about people killing us on a daily basis. Our government is also democratic which means people have a voice. This isn't the case in some areas/	sadness	2	6	1	25	75000	7.0	7.0	4.5	6.5	6.5	4.143	2.4290000000000003	3.571	4.428999999999999	283	I am a 25-year-old female of the White race. I have a four-year bachelor's degree and earn 75000 USD.	I am a 25-year-old female of the White race. I have a four-year bachelor's degree and earn 75000 USD. Hearing about the violence going on over politics in the country is really sad and upsetting. It's easy to take for granted how we live and how lucky we are that we don't have to worry about people killing us on a daily basis. Our government is also democratic which means people have a voice. This isn't the case in some areas/	Investors are becoming hesitant to invest in Ethiopia due to recent violent protests. The unrest, which began last year, has led to attacks on industrial farms and factories, particularly those with state ties or owned by foreigners. Ethiopia's industrialization program and economic growth are at risk as current investors reconsider their options and new ones shy away. The government declared a state of emergency in response to the violence, leading to concerns from international organizations. The government has promised to help investors recoup their losses, but the future remains uncertain. Many investors are waiting to see if the government can address the underlying issues causing the unrest.
322	1.2	3.5	I think almost everyone has an opinion on Hilary Clinton over Donald Trump. Many didn't expect Donald to win the election but here we are. So many political scandals unfolded and more continuing to unravel. Many didn't agree with Hilary from the Bengazi investigation and many didn't agree with Trump, but in the end that's just politics.	neutral	2	6	1	25	75000	7.0	7.0	4.5	6.5	6.5	4.143	2.4290000000000003	3.571	4.428999999999999	283	I am a 25-year-old female of the White race. I have a four-year bachelor's degree and earn 75000 USD.	I am a 25-year-old female of the White race. I have a four-year bachelor's degree and earn 75000 USD. I think almost everyone has an opinion on Hilary Clinton over Donald Trump. Many didn't expect Donald to win the election but here we are. So many political scandals unfolded and more continuing to unravel. Many didn't agree with Hilary from the Bengazi investigation and many didn't agree with Trump, but in the end that's just politics.	The Democratic Party suffered a shocking defeat in the recent election, with Donald Trump winning key demographics that were expected to support Democrats. Many Obama voters flipped to Trump, and he outperformed Romney among union households, whites without a college degree, and low-income households. The success of Obama's coalition may have been due to his unique talent as a politician, rather than a stable majority. The Democratic Party is now facing a struggle for dominance between Sanders supporters and the establishment wing. With no legislative victories in sight and upcoming electoral losses, the party's future is uncertain. Economic insecurity may have contributed to the rise of racism and far-right political parties. To prevent the views that led to Trump's victory, Democrats need to focus on delivering economic gains to working people.
370	6.5	4.25	It's so sad to see that world hunger is still such a large issue in other countries, especially when it seems like so much of our food goes to waste. Children passing out in the streets simply because they have no food to eat is heartbreaking. No one should have to suffer simply because they can't afford food. There needs to be another option.	sadness	2	6	1	25	75000	7.0	7.0	4.5	6.5	6.5	4.143	2.4290000000000003	3.571	4.428999999999999	283	I am a 25-year-old female of the White race. I have a four-year bachelor's degree and earn 75000 USD.	I am a 25-year-old female of the White race. I have a four-year bachelor's degree and earn 75000 USD. It's so sad to see that world hunger is still such a large issue in other countries, especially when it seems like so much of our food goes to waste. Children passing out in the streets simply because they have no food to eat is heartbreaking. No one should have to suffer simply because they can't afford food. There needs to be another option.	Venezuelan children are fainting and falling asleep in school due to hunger. Many students are absent because their families cannot afford to buy food. One teacher reported that a student skipped class every Thursday because it was their family's designated day to buy food at government-regulated prices. Another teacher witnessed a child faint during a cultural event because they had only eaten an arepa at 10 a.m. and it was already 3 p.m. The government spends very little on meals in public schools, and a lawmaker criticized the government for prioritizing weapons over food. A recent poll revealed that 48% of the time children do not attend school, it is due to food-related issues. Many children eat only twice a day or even just once, and for some, the school lunch is their only meal of the day. Some parents are considering changing their children from private to public schools, while others are contemplating taking their children out of school altogether. In addition to the food crisis, public schools are also facing infrastructure problems, with stolen computers and desks and a lack of funds for school supplies.
53	6.2	5.375	It's really amazing to me how much food we waste as a country considering how overweight and obese people are. I can't believe how wasteful it all is, if you think about it. A lot of the food we eat, we don't need, and then we throw away so much too! All that food belongs with people who really need it. I wish people would donate more and that restaurants could donate their unused food to homeless shelters.	surprise	2	6	1	31	32000	6.0	3.5	4.5	6.0	5.5	4.428999999999999	3.429	4.571000000000001	4.571000000000001	297	I am a 31-year-old female of the White race. I have a four-year bachelor's degree and earn 32000 USD.	I am a 31-year-old female of the White race. I have a four-year bachelor's degree and earn 32000 USD. It's really amazing to me how much food we waste as a country considering how overweight and obese people are. I can't believe how wasteful it all is, if you think about it. A lot of the food we eat, we don't need, and then we throw away so much too! All that food belongs with people who really need it. I wish people would donate more and that restaurants could donate their unused food to homeless shelters.	A study published in Plos One reveals that Americans waste a significant amount of food, with about 133 billion pounds of edible food going uneaten in 2010. Two-thirds of this waste is attributed to consumers. The paper highlights the negative environmental impact of food waste, as 95% of it ends up in landfills. Ohio State University professor Brian Roe suggests that increasing awareness of the issue can lead to purposeful action to reduce food waste. A national survey conducted last year found that 53% of Americans are aware of the problem, a 10% increase from a previous study. The survey also revealed that many people believe throwing away food after the package date reduces the risk of food-related illnesses and that some food waste is necessary for freshness. Additionally, 77% of respondents feel guilty about wasting food, while 58% understand the environmental consequences. However, 51% believe it is difficult to reduce home food waste, and 42% claim to lack the time to address the issue.
120	4.2	4.125	This is a crazy story with so many facets to it, omg. I mean on one hand, I don't support an eye for an eye. I don't support the death penalty and I don't support blinding someone. BUT on the other hand, this is a country where women really struggle and the justice system is not well developed. ALSO, he blinded a FOUR YEAR OLD GIRL. What the fuck is wrong with this guy. So if this was in America I would not support it, but I don't feel right condemning the actions of an entirely different country for doing what they felt needed to be done.	anger	2	6	1	31	32000	6.0	3.5	4.5	6.0	5.5	4.428999999999999	3.429	4.571000000000001	4.571000000000001	297	I am a 31-year-old female of the White race. I have a four-year bachelor's degree and earn 32000 USD.	I am a 31-year-old female of the White race. I have a four-year bachelor's degree and earn 32000 USD. This is a crazy story with so many facets to it, omg. I mean on one hand, I don't support an eye for an eye. I don't support the death penalty and I don't support blinding someone. BUT on the other hand, this is a country where women really struggle and the justice system is not well developed. ALSO, he blinded a FOUR YEAR OLD GIRL. What the fuck is wrong with this guy. So if this was in America I would not support it, but I don't feel right condemning the actions of an entirely different country for doing what they felt needed to be done.	"Iran has blinded a man for throwing acid in the face of a four-year-old girl. This punishment, known as ""eye-for-an-eye,"" was carried out for the second time this year. The attacker had previously blinded another girl in 2009. The law of retribution, a part of Islam's sharia code, allows victims to personally inflict punishments on their attackers. However, some victims choose to spare their attackers in exchange for blood money. Human rights groups have criticized this legal code as inhumane and brutal."
185	3.2	3.75	I've heard of necrotizing fasciitis before. It's really fucking scary to think that just from a tiny little cut you could get a disease that has a high likelihood of killing you. There's also a similar bacteria called naegleria fowlerii that can get into your body from water going up your nostrils and it basically eats your brain. Nature is fucking metal.	disgust	2	6	1	31	32000	6.0	3.5	4.5	6.0	5.5	4.428999999999999	3.429	4.571000000000001	4.571000000000001	297	I am a 31-year-old female of the White race. I have a four-year bachelor's degree and earn 32000 USD.	I am a 31-year-old female of the White race. I have a four-year bachelor's degree and earn 32000 USD. I've heard of necrotizing fasciitis before. It's really fucking scary to think that just from a tiny little cut you could get a disease that has a high likelihood of killing you. There's also a similar bacteria called naegleria fowlerii that can get into your body from water going up your nostrils and it basically eats your brain. Nature is fucking metal.	Bob Murken, the city's director of legislative affairs, had a near-death experience after being attacked by flesh-eating bacteria. He was diagnosed with necrotizing fasciitis, a rare disease that has a 25% fatality rate. Murken underwent multiple surgeries and spent three weeks in critical care before being able to return home. Despite the ordeal, he was able to ride his bike to work again in mid-August. The timing of his illness was unfortunate, as he was in the midst of working on Mayor Kenney's tax on sweetened beverages.
273	6.5	4.5	I totally support these protesters. We've had trouble with oil pipelines here in Michigan. I feel like these pipelines are foisted on local communities without any care for whether it is good for the community and without adequate studies as to how safe they are from leaks and pollution. There are more important things in life than money and oil.	disgust	2	6	1	31	32000	6.0	3.5	4.5	6.0	5.5	4.428999999999999	3.429	4.571000000000001	4.571000000000001	297	I am a 31-year-old female of the White race. I have a four-year bachelor's degree and earn 32000 USD.	I am a 31-year-old female of the White race. I have a four-year bachelor's degree and earn 32000 USD. I totally support these protesters. We've had trouble with oil pipelines here in Michigan. I feel like these pipelines are foisted on local communities without any care for whether it is good for the community and without adequate studies as to how safe they are from leaks and pollution. There are more important things in life than money and oil.	Armed police in North Dakota have arrested 141 Native American protesters and environmental activists who were occupying private land in the path of a controversial new oil pipeline. The police used non-lethal rounds, pepper spray, and sound cannons to push the protesters back to their main encampment on public land. Skirmishes lasted overnight and continued until early Friday morning. The protesters were demonstrating against the pipeline, which they believe threatens the region's water supply and crosses land never ceded by the tribe. The police claimed they used non-lethal bean bag rounds in response to stone throwing and a woman firing a pistol at officers. The protest has been ongoing for months and has drawn the attention of activists and celebrities.
391	4.2	6.25	I'm really confused at why multiple articles were mushed together like this. At first I was perturbed at the first article because I felt like the lady was being ridiculous. She weighs 500 pounds, so obviously a 1200 calorie diet is going to cause her to lose weight, the fact that she can't find a scale to weigh her doesn't matter. You don't need a scale to tell you're losing weight. Measure your body with measuring tape. But then I got to the article about the Mexican students and found it really horrifying. I can't believe the terrible things people do to one another :(	surprise	2	6	1	31	32000	6.0	3.5	4.5	6.0	5.5	4.428999999999999	3.429	4.571000000000001	4.571000000000001	297	I am a 31-year-old female of the White race. I have a four-year bachelor's degree and earn 32000 USD.	I am a 31-year-old female of the White race. I have a four-year bachelor's degree and earn 32000 USD. I'm really confused at why multiple articles were mushed together like this. At first I was perturbed at the first article because I felt like the lady was being ridiculous. She weighs 500 pounds, so obviously a 1200 calorie diet is going to cause her to lose weight, the fact that she can't find a scale to weigh her doesn't matter. You don't need a scale to tell you're losing weight. Measure your body with measuring tape. But then I got to the article about the Mexican students and found it really horrifying. I can't believe the terrible things people do to one another :(	The healthcare system in the United States is ill-prepared to treat obese patients, with doctors often unwilling to look past their weight and provide proper care. Obese patients face difficulties ranging from inadequate equipment to biased attitudes from healthcare providers. Doctors may spend less time with obese patients, fail to refer them for diagnostic tests, and attribute symptoms to their weight without investigating other causes. The lack of appropriate medical care for obese patients extends to treatments, with drug doses often not calibrated for obese patients and surgeons refusing to perform joint replacements unless the patient loses weight. The situation is further complicated by the fear of medical professionals of being penalized for complications and poor outcomes. The article also discusses the challenges faced by doctors and therapists in providing medical care to transgender patients due to limited knowledge and bias. The Mexican government's investigation into the disappearance of 43 college students in 2014 remains unsolved, leading many to question its ability and willingness to find answers. The Inter-American Commission on Human Rights is now being relied upon to provide justice and answers for the families of the missing students. The article highlights the stories of three survivors of the attacks in Iguala, Mexico, who continue to seek justice and fight for their rights.
38	4.2	3.375	It's too bad that we are still in the middle east.  I wish Trump would just pull out of the middle east entirely so our soldiers will stop being targets for all the countries that hate us.  The longer we are there the easier we make it for them to inflict damage to our troops.  It must not be easy for them to be there away from their families.	joy	1	6	5	43	50000	6.5	4.5	1.5	5.5	6.0	3.714	1.429	3.571	2.857	179	I am a 43-year-old male of Asian/Pacific Islander descent. I obtained a four-year bachelor's degree and my income is 50000 USD.	I am a 43-year-old male of Asian/Pacific Islander descent. I obtained a four-year bachelor's degree and my income is 50000 USD. It's too bad that we are still in the middle east.  I wish Trump would just pull out of the middle east entirely so our soldiers will stop being targets for all the countries that hate us.  The longer we are there the easier we make it for them to inflict damage to our troops.  It must not be easy for them to be there away from their families.	Four Americans were killed in a suicide bomb attack at Bagram Airfield in Afghanistan. The attack also wounded 16 US service members and one Polish soldier. The Taliban claimed responsibility for the attack, stating that it had been planned for four months. The US Embassy in Kabul will be closed as a precautionary measure. NATO Secretary General Jens Stoltenberg expressed support for those affected by the attack and reiterated NATO's commitment to fighting terrorism. Afghan President Mohammad Ashraf Ghani condemned the attack and vowed to bring the perpetrators to justice. Urgent investigations are being carried out to determine how the attacker gained access to the base. This attack follows a series of recent attacks in Afghanistan, including a suicide car bomb targeting the German Consulate and a joint Afghan-US battle against the Taliban that resulted in civilian and military casualties.
