,speaker_id,demographic
154,15,"I am a 30-year-old male of the White race. I completed a two-year associate degree and I earn 10,000 USD."
162,41,I am a 42-year-old male of the White race. I hold a four-year bachelor's degree and earn 25000 USD.
177,3,I am a 55-year-old female of the Other race. I have a four-year bachelor’s degree and earn 70000 USD.
220,50,I am a 30-year-old female of the White race. I have a four-year bachelor's degree and earn 55000 USD.
237,38,I am a 35-year-old female of the White race. I have completed a four-year bachelor's degree and earn 148000 USD.
239,8,I am a 62-year-old female of the White race. I have a four-year bachelor's degree and earn 29000 USD.
257,6,I am a 28-year-old female of the White race. I have completed some college but no degree and earn a yearly income of 21000 USD.
278,34,I am a 45-year-old female of the White race. I completed some college but no degree and earn 52000 USD.
280,52,I am a 30-year-old male of the White race. I hold a four-year bachelor’s degree and earn 5000 USD.
371,9,I am a 47-year-old male of the White race. I have a four-year bachelor's degree and earn 105000 USD.
375,42,I am a 45-year-old male of the White race. I completed some college but no degree and earn 40000 USD.
379,0,I am a 26-year-old female of the White race. I have completed a four-year bachelor's degree and earn 65000 USD.
400,58,I am a 28-year-old female of Hispanic or Latino race. I have a four-year bachelor’s degree and earn 35000 USD.
408,10,I am a 33-year-old male of African American race. I have a four-year bachelor's degree and earn 63000 USD.
413,12,I am a 28-year-old male of the White race. I hold a postgraduate or professional degree and my annual income is 105000 USD.
418,29,I am a 40-year-old female of the White race. I have a four-year bachelor’s degree and earn 80000 USD.
425,47,I am a 37-year-old female of the White race. I hold a four-year bachelor's degree and earn 135000 USD.
465,11,I am a 40-year-old male of the White race. I hold a bachelor's degree and earn an income of 140000 USD.
472,1,I am a 30-year-old male of the White race. I completed a high school diploma and earn 55000 USD.
526,4,I am a 58-year-old female of the White race. I completed a two-year associate degree and earn 28000 USD.
537,28,I am a 34-year-old male of Asian/Pacific Islander race. I have a four-year bachelor's degree and earn 36000 USD.
548,39,I am a 34-year-old female of African American descent. I have completed some college courses but do not have a degree. My income is 34000 USD.
755,21,I am a 37-year-old male of the White race. I have a postgraduate or professional degree and I earn 30000 USD.
756,54,I am a 32-year-old male of the White race. I have a four-year bachelor's degree and earn 50000 USD.
779,68,I am a 21-year-old female of the White race. I have a high school diploma and earn 20000 USD.
780,79,I am a 33-year-old male of African American race. I have a four-year bachelor's degree and earn 64000 USD.
782,84,I am a 25-year-old female of the White race. I have completed some college but no degree and earn 55000 USD per year.
784,70,I am a 29-year-old male of the White race. I have a four-year bachelor's degree and earn 85000 USD.
785,81,I am a 30-year-old male of the White race. I have completed some college but have not earned a degree. I currently earn 27000 USD.
786,73,"I am a 38-year-old woman of the white race. I have completed a postgraduate or professional degree, and my income is 42000 USD."
787,63,I am a 25-year-old male of the White race. I've completed some college but no degree and earn 29000 USD.
789,69,I am a 34-year-old female of the White race. I have a high school diploma and earn 60000 USD.
790,75,I am a 37-year-old male of the Black or African American race. I have a four-year bachelor's degree and earn 40000 USD.
795,71,I am a 32-year-old male of Hispanic or Latino race. I have a four-year bachelor's degree and earn 35000 USD.
796,96,I am a 27-year-old female of the White race. I completed technical/vocational school and earn 25000 USD.
798,74,I am a 29-year-old male of the White race. I have completed some college but have not obtained a degree. I earn a salary of 39000 USD.
799,77,I am a 34-year-old female of the White race. I have a high school diploma and my annual income is 50000 USD.
807,59,I am a 30-year-old male of the White race. I have a high school diploma and earn 55000 USD.
808,60,I am a 30-year-old male of the White race. I completed a high school diploma and earn 30000 USD.
812,61,I am a 22-year-old female of the Black or African American race. I have a four-year bachelor's degree and my income is 100000 USD.
813,85,I am a 28-year-old male of the White race. I have obtained a postgraduate or professional degree and my income is 165000 USD.
818,91,I am a 41-year-old male of the White race. I completed a four-year bachelor's degree and earn 28000 USD.
826,87,I am a 46-year-old female of the White race. I completed a four-year bachelor's degree and earn 22000 USD.
832,90,I am a 35-year-old female of the White race. I have completed a four-year bachelor's degree and earn 32000 USD.
833,80,I am a 35-year-old male of the White race. I hold a four-year bachelor's degree and my annual income is 120000 USD.
836,64,"I am a 29-year-old male of the Other race. I have a high school diploma. Furthermore, my annual income stands at 44000.0 USD"
837,82,"I am a 46-year-old male of the White race. I have a postgraduate or professional degree and earn 150,000 USD."
845,86,I am a 25-year-old male of the White race. I have achieved a four-year bachelor's degree and my income is 78000 USD.
848,65,I am a 62-year-old female of the White race. I hold a four-year bachelor's degree and earn approximately 29000 USD.
849,66,I am a 36-year-old male of the White race. I have a four-year bachelor's degree and earn 40000 USD.
851,76,I am a 38-year-old male of the White race. I completed a two-year associate degree and earn 96000 USD.
852,92,I am a 31-year-old male of the White race. I completed a two-year associate degree and earn 82000 USD.
855,83,I am a 49-year-old male of the White race. I completed a two-year associate degree and earn 37000 USD.
868,67,I am a 25-year-old female of the White race. I have a four-year bachelor's degree and earn 60000 USD.
873,78,I am a 33-year-old male of the Other race. I have completed some college but no degree and earn 36000 USD.
884,97,I am a 19-year-old male of the White race. I have completed some college but no degree and my annual income is 40000 USD.
891,89,I am a 35-year-old female of the White race. I hold a postgraduate or professional degree and earn 60000 USD.
898,99,I am a 28-year-old female of Hispanic or Latino race. I have a four-year bachelor's degree and earn 35000 USD.
902,62,I am a 27-year-old female of Hispanic or Latino race. I completed a two-year associate degree and earn 20000 USD.
917,88,I am a 30-year-old male of the Black or African American race. I have a four-year bachelor's degree and my income is 55000 USD.
936,72,I am a 23-year-old male of Hispanic or Latino race. I have completed some college but no degree and earn 70000 USD.
937,93,I am a 41-year-old male who identifies as Other. I hold a postgraduate or professional degree and my annual income is 64000 USD.
951,94,I am a 32-year-old male of the White race. I hold a four-year bachelor's degree and earn a salary of 15000 USD.
953,95,I am a 30-year-old male of the White race. I have a four-year bachelor's degree and earn 5000 USD.
968,98,I am a 47-year-old female of the White race. I hold a four-year bachelor's degree and earn 110000 USD.
